row_id,vader_full,vader_trunc,bert_stars_full,bert_stars_trunc,bert_full,bert_trunc
0,Positive,Positive,5,5,Positive,Positive
1,Positive,Positive,5,5,Positive,Positive
2,Positive,Positive,5,5,Positive,Positive
3,Neutral,Neutral,5,5,Positive,Positive
4,Positive,Positive,3,2,Neutral,Negative
5,Positive,Positive,5,5,Positive,Positive
6,Positive,Positive,4,4,Positive,Positive
7,Positive,Positive,4,4,Positive,Positive
8,Positive,Positive,3,3,Neutral,Neutral
9,Negative,Negative,1,1,Negative,Negative
10,Negative,Negative,2,2,Negative,Negative
11,Positive,Positive,3,3,Neutral,Neutral
12,Positive,Positive,5,5,Positive,Positive
13,Positive,Positive,4,4,Positive,Positive
14,Positive,Positive,5,5,Positive,Positive
15,Positive,Positive,5,5,Positive,Positive
16,Positive,Positive,5,5,Positive,Positive
17,Negative,Negative,2,2,Negative,Negative
18,Positive,Positive,3,3,Neutral,Neutral
19,Negative,Negative,1,1,Negative,Negative
20,Positive,Positive,2,4,Negative,Positive
21,Negative,Positive,2,2,Negative,Negative
22,Positive,Positive,5,5,Positive,Positive
23,Positive,Positive,4,4,Positive,Positive
24,Positive,Positive,5,5,Positive,Positive
25,Positive,Positive,4,4,Positive,Positive
26,Neutral,Neutral,4,4,Positive,Positive
27,Negative,Negative,2,3,Negative,Neutral
28,Negative,Negative,4,4,Positive,Positive
29,Positive,Positive,4,4,Positive,Positive
30,Positive,Positive,5,5,Positive,Positive
31,Positive,Positive,5,5,Positive,Positive
32,Positive,Positive,4,4,Positive,Positive
33,Positive,Positive,4,4,Positive,Positive
34,Positive,Negative,3,2,Neutral,Negative
35,Positive,Positive,5,5,Positive,Positive
36,Positive,Positive,5,5,Positive,Positive
37,Negative,Positive,2,2,Negative,Negative
38,Positive,Positive,4,4,Positive,Positive
39,Negative,Negative,5,5,Positive,Positive
40,Negative,Negative,1,1,Negative,Negative
41,Positive,Positive,4,4,Positive,Positive
42,Positive,Positive,5,5,Positive,Positive
43,Neutral,Neutral,1,1,Negative,Negative
44,Positive,Positive,4,4,Positive,Positive
45,Positive,Positive,5,5,Positive,Positive
46,Negative,Negative,2,2,Negative,Negative
47,Neutral,Neutral,4,4,Positive,Positive
48,Positive,Positive,4,4,Positive,Positive
49,Negative,Positive,2,2,Negative,Negative
50,Positive,Positive,3,3,Neutral,Neutral
51,Positive,Positive,4,4,Positive,Positive
52,Positive,Positive,5,5,Positive,Positive
53,Positive,Positive,4,4,Positive,Positive
54,Positive,Positive,3,4,Neutral,Positive
55,Positive,Positive,5,5,Positive,Positive
56,Negative,Negative,2,2,Negative,Negative
57,Positive,Positive,5,5,Positive,Positive
58,Positive,Negative,1,1,Negative,Negative
59,Positive,Positive,5,5,Positive,Positive
60,Negative,Negative,2,2,Negative,Negative
61,Positive,Positive,2,2,Negative,Negative
62,Negative,Negative,3,3,Neutral,Neutral
63,Positive,Positive,5,5,Positive,Positive
64,Negative,Negative,3,3,Neutral,Neutral
65,Positive,Positive,2,2,Negative,Negative
66,Negative,Negative,2,2,Negative,Negative
67,Negative,Negative,2,2,Negative,Negative
68,Positive,Positive,4,4,Positive,Positive
69,Positive,Positive,5,5,Positive,Positive
70,Positive,Positive,1,1,Negative,Negative
71,Positive,Positive,5,5,Positive,Positive
72,Positive,Positive,5,5,Positive,Positive
73,Positive,Positive,3,4,Neutral,Positive
74,Negative,Negative,2,1,Negative,Negative
75,Positive,Positive,4,4,Positive,Positive
76,Negative,Negative,2,2,Negative,Negative
77,Positive,Positive,3,3,Neutral,Neutral
78,Negative,Negative,2,2,Negative,Negative
79,Negative,Negative,1,1,Negative,Negative
80,Positive,Positive,4,4,Positive,Positive
81,Negative,Negative,1,1,Negative,Negative
82,Positive,Positive,2,2,Negative,Negative
83,Positive,Positive,5,5,Positive,Positive
84,Positive,Positive,5,5,Positive,Positive
85,Neutral,Neutral,4,4,Positive,Positive
86,Positive,Positive,5,5,Positive,Positive
87,Positive,Positive,4,4,Positive,Positive
88,Positive,Positive,4,4,Positive,Positive
89,Positive,Positive,5,5,Positive,Positive
90,Negative,Positive,2,2,Negative,Negative
91,Positive,Positive,4,5,Positive,Positive
92,Positive,Positive,5,5,Positive,Positive
93,Positive,Positive,3,3,Neutral,Neutral
94,Negative,Negative,1,1,Negative,Negative
95,Positive,Positive,5,4,Positive,Positive
96,Positive,Positive,4,4,Positive,Positive
97,Neutral,Neutral,1,1,Negative,Negative
98,Positive,Positive,5,5,Positive,Positive
99,Negative,Negative,1,1,Negative,Negative
100,Negative,Negative,1,1,Negative,Negative
101,Positive,Positive,2,2,Negative,Negative
102,Negative,Negative,1,1,Negative,Negative
103,Positive,Positive,5,5,Positive,Positive
104,Negative,Negative,2,2,Negative,Negative
105,Positive,Positive,4,4,Positive,Positive
106,Negative,Negative,2,2,Negative,Negative
107,Negative,Negative,4,5,Positive,Positive
108,Negative,Negative,1,1,Negative,Negative
109,Negative,Negative,1,5,Negative,Positive
110,Negative,Negative,2,2,Negative,Negative
111,Positive,Positive,5,5,Positive,Positive
112,Positive,Positive,4,4,Positive,Positive
113,Negative,Negative,2,2,Negative,Negative
114,Positive,Positive,5,5,Positive,Positive
115,Negative,Negative,2,2,Negative,Negative
116,Negative,Negative,4,4,Positive,Positive
117,Negative,Negative,2,2,Negative,Negative
118,Positive,Positive,5,5,Positive,Positive
119,Negative,Negative,1,1,Negative,Negative
120,Negative,Negative,1,1,Negative,Negative
121,Positive,Positive,1,1,Negative,Negative
122,Positive,Positive,4,4,Positive,Positive
123,Negative,Negative,1,1,Negative,Negative
124,Negative,Negative,2,2,Negative,Negative
125,Positive,Positive,5,5,Positive,Positive
126,Positive,Positive,4,4,Positive,Positive
127,Positive,Positive,5,5,Positive,Positive
128,Positive,Positive,4,4,Positive,Positive
129,Negative,Negative,1,1,Negative,Negative
130,Positive,Positive,3,3,Neutral,Neutral
131,Positive,Positive,5,5,Positive,Positive
132,Negative,Negative,1,1,Negative,Negative
133,Positive,Positive,5,5,Positive,Positive
134,Positive,Positive,5,5,Positive,Positive
135,Positive,Positive,5,5,Positive,Positive
136,Negative,Negative,2,2,Negative,Negative
137,Negative,Negative,1,1,Negative,Negative
138,Positive,Positive,5,5,Positive,Positive
139,Positive,Positive,5,5,Positive,Positive
140,Positive,Positive,2,2,Negative,Negative
141,Positive,Positive,4,4,Positive,Positive
142,Negative,Negative,1,1,Negative,Negative
143,Negative,Negative,4,4,Positive,Positive
144,Positive,Positive,5,5,Positive,Positive
145,Positive,Positive,5,5,Positive,Positive
146,Negative,Negative,1,1,Negative,Negative
147,Negative,Negative,4,4,Positive,Positive
148,Positive,Positive,3,5,Neutral,Positive
149,Positive,Positive,5,5,Positive,Positive
150,Negative,Negative,1,1,Negative,Negative
151,Positive,Positive,4,4,Positive,Positive
152,Positive,Positive,4,4,Positive,Positive
153,Negative,Negative,1,1,Negative,Negative
154,Positive,Positive,2,2,Negative,Negative
155,Positive,Positive,4,4,Positive,Positive
156,Positive,Positive,2,2,Negative,Negative
157,Positive,Positive,5,5,Positive,Positive
158,Negative,Negative,1,1,Negative,Negative
159,Negative,Negative,5,5,Positive,Positive
160,Negative,Negative,2,1,Negative,Negative
161,Negative,Negative,1,1,Negative,Negative
162,Negative,Negative,2,2,Negative,Negative
163,Positive,Positive,4,4,Positive,Positive
164,Negative,Negative,5,2,Positive,Negative
165,Positive,Positive,5,5,Positive,Positive
166,Negative,Negative,4,4,Positive,Positive
167,Positive,Negative,1,1,Negative,Negative
168,Negative,Negative,2,2,Negative,Negative
169,Positive,Positive,4,4,Positive,Positive
170,Positive,Positive,5,5,Positive,Positive
171,Negative,Negative,5,5,Positive,Positive
172,Positive,Positive,5,5,Positive,Positive
173,Negative,Negative,4,4,Positive,Positive
174,Positive,Positive,1,1,Negative,Negative
175,Negative,Negative,2,2,Negative,Negative
176,Negative,Negative,4,4,Positive,Positive
177,Positive,Positive,2,2,Negative,Negative
178,Negative,Negative,1,1,Negative,Negative
179,Positive,Positive,3,3,Neutral,Neutral
180,Positive,Positive,5,5,Positive,Positive
181,Negative,Negative,5,5,Positive,Positive
182,Positive,Positive,4,4,Positive,Positive
183,Positive,Positive,5,4,Positive,Positive
184,Negative,Negative,5,5,Positive,Positive
185,Positive,Positive,5,5,Positive,Positive
186,Positive,Positive,5,5,Positive,Positive
187,Negative,Negative,5,5,Positive,Positive
188,Negative,Negative,3,4,Neutral,Positive
189,Positive,Positive,3,3,Neutral,Neutral
190,Negative,Negative,1,1,Negative,Negative
191,Positive,Positive,4,4,Positive,Positive
192,Positive,Positive,4,4,Positive,Positive
193,Negative,Negative,1,1,Negative,Negative
194,Positive,Positive,5,5,Positive,Positive
195,Positive,Positive,4,4,Positive,Positive
196,Negative,Negative,3,3,Neutral,Neutral
197,Negative,Negative,1,1,Negative,Negative
198,Negative,Negative,5,5,Positive,Positive
199,Negative,Negative,2,2,Negative,Negative
200,Positive,Positive,4,4,Positive,Positive
201,Positive,Positive,5,5,Positive,Positive
202,Positive,Positive,5,5,Positive,Positive
203,Positive,Positive,2,2,Negative,Negative
204,Positive,Positive,5,4,Positive,Positive
205,Positive,Positive,5,5,Positive,Positive
206,Positive,Positive,5,5,Positive,Positive
207,Positive,Positive,5,5,Positive,Positive
208,Positive,Positive,2,2,Negative,Negative
209,Negative,Positive,1,5,Negative,Positive
210,Positive,Positive,4,4,Positive,Positive
211,Positive,Positive,5,5,Positive,Positive
212,Negative,Negative,1,1,Negative,Negative
213,Positive,Positive,3,3,Neutral,Neutral
214,Negative,Negative,1,1,Negative,Negative
215,Negative,Negative,1,1,Negative,Negative
216,Negative,Negative,1,1,Negative,Negative
217,Positive,Positive,4,4,Positive,Positive
218,Positive,Positive,5,5,Positive,Positive
219,Positive,Positive,5,5,Positive,Positive
220,Positive,Positive,5,5,Positive,Positive
221,Positive,Positive,2,2,Negative,Negative
222,Positive,Positive,4,4,Positive,Positive
223,Negative,Negative,1,1,Negative,Negative
224,Positive,Positive,5,5,Positive,Positive
225,Positive,Positive,5,5,Positive,Positive
226,Positive,Positive,5,5,Positive,Positive
227,Positive,Positive,3,2,Neutral,Negative
228,Positive,Positive,4,4,Positive,Positive
229,Positive,Positive,2,2,Negative,Negative
230,Positive,Positive,5,5,Positive,Positive
231,Positive,Positive,4,4,Positive,Positive
232,Negative,Negative,3,3,Neutral,Neutral
233,Positive,Positive,4,4,Positive,Positive
234,Negative,Negative,1,1,Negative,Negative
235,Positive,Positive,4,4,Positive,Positive
236,Negative,Negative,1,1,Negative,Negative
237,Positive,Positive,3,4,Neutral,Positive
238,Positive,Positive,4,4,Positive,Positive
239,Negative,Negative,3,3,Neutral,Neutral
240,Negative,Negative,2,4,Negative,Positive
241,Negative,Negative,5,5,Positive,Positive
242,Positive,Positive,3,3,Neutral,Neutral
243,Negative,Negative,4,4,Positive,Positive
244,Positive,Positive,4,4,Positive,Positive
245,Positive,Positive,5,5,Positive,Positive
246,Positive,Positive,3,3,Neutral,Neutral
247,Positive,Positive,4,4,Positive,Positive
248,Negative,Negative,1,1,Negative,Negative
249,Positive,Positive,4,4,Positive,Positive
250,Positive,Positive,2,2,Negative,Negative
251,Positive,Positive,3,3,Neutral,Neutral
252,Positive,Positive,5,4,Positive,Positive
253,Positive,Positive,3,3,Neutral,Neutral
254,Positive,Positive,4,4,Positive,Positive
255,Positive,Positive,5,5,Positive,Positive
256,Negative,Negative,5,5,Positive,Positive
257,Positive,Positive,5,5,Positive,Positive
258,Positive,Positive,1,1,Negative,Negative
259,Positive,Positive,5,5,Positive,Positive
260,Positive,Positive,3,3,Neutral,Neutral
261,Positive,Negative,2,5,Negative,Positive
262,Positive,Positive,4,4,Positive,Positive
263,Positive,Positive,4,4,Positive,Positive
264,Positive,Positive,3,3,Neutral,Neutral
265,Neutral,Neutral,5,5,Positive,Positive
266,Negative,Negative,3,3,Neutral,Neutral
267,Neutral,Neutral,5,5,Positive,Positive
268,Positive,Positive,5,5,Positive,Positive
269,Positive,Positive,5,5,Positive,Positive
270,Positive,Positive,5,4,Positive,Positive
271,Positive,Positive,5,5,Positive,Positive
272,Negative,Negative,1,1,Negative,Negative
273,Negative,Negative,5,5,Positive,Positive
274,Negative,Negative,1,1,Negative,Negative
275,Positive,Positive,4,3,Positive,Neutral
276,Negative,Negative,4,4,Positive,Positive
277,Positive,Positive,5,5,Positive,Positive
278,Positive,Neutral,2,2,Negative,Negative
279,Positive,Positive,4,4,Positive,Positive
280,Positive,Positive,4,4,Positive,Positive
281,Positive,Positive,5,5,Positive,Positive
282,Positive,Positive,2,1,Negative,Negative
283,Positive,Positive,4,4,Positive,Positive
284,Negative,Negative,2,2,Negative,Negative
285,Negative,Negative,1,1,Negative,Negative
286,Negative,Negative,2,2,Negative,Negative
287,Negative,Negative,4,3,Positive,Neutral
288,Positive,Positive,4,4,Positive,Positive
289,Positive,Negative,1,1,Negative,Negative
290,Neutral,Neutral,5,5,Positive,Positive
291,Positive,Positive,2,2,Negative,Negative
292,Positive,Positive,4,4,Positive,Positive
293,Positive,Positive,4,4,Positive,Positive
294,Neutral,Neutral,1,1,Negative,Negative
295,Positive,Positive,1,2,Negative,Negative
296,Positive,Positive,5,5,Positive,Positive
297,Negative,Negative,1,1,Negative,Negative
298,Positive,Positive,4,1,Positive,Negative
299,Positive,Positive,5,5,Positive,Positive
300,Positive,Positive,2,2,Negative,Negative
301,Negative,Negative,1,1,Negative,Negative
302,Negative,Negative,1,1,Negative,Negative
303,Negative,Negative,3,3,Neutral,Neutral
304,Negative,Negative,2,2,Negative,Negative
305,Negative,Negative,2,2,Negative,Negative
306,Positive,Positive,5,5,Positive,Positive
307,Positive,Positive,5,5,Positive,Positive
308,Neutral,Neutral,2,2,Negative,Negative
309,Negative,Positive,1,1,Negative,Negative
310,Positive,Positive,4,4,Positive,Positive
311,Positive,Negative,4,5,Positive,Positive
312,Positive,Positive,5,5,Positive,Positive
313,Positive,Positive,4,4,Positive,Positive
314,Positive,Negative,4,1,Positive,Negative
315,Positive,Positive,1,1,Negative,Negative
316,Negative,Negative,3,2,Neutral,Negative
317,Positive,Positive,2,2,Negative,Negative
318,Positive,Positive,5,5,Positive,Positive
319,Positive,Positive,5,5,Positive,Positive
320,Negative,Negative,1,1,Negative,Negative
321,Positive,Positive,4,4,Positive,Positive
322,Neutral,Negative,2,2,Negative,Negative
323,Negative,Negative,1,1,Negative,Negative
324,Positive,Positive,2,2,Negative,Negative
325,Positive,Positive,4,4,Positive,Positive
326,Positive,Positive,1,1,Negative,Negative
327,Positive,Negative,3,3,Neutral,Neutral
328,Positive,Positive,2,2,Negative,Negative
329,Positive,Positive,2,2,Negative,Negative
330,Positive,Positive,5,5,Positive,Positive
331,Positive,Positive,1,1,Negative,Negative
332,Positive,Positive,5,4,Positive,Positive
333,Negative,Negative,3,3,Neutral,Neutral
334,Negative,Negative,3,3,Neutral,Neutral
