row_id,A1_sentiment,A1_score,A1_emotion,A1_asp_safety,A1_asp_pricing,A1_asp_service,A1_asp_cleanliness,A1_asp_atmosphere,A1_p_Aggressive_vendors,A1_p_Navigation_difficulty,A1_p_Getting_lost,A1_p_Bad_smell,A1_p_Overcrowding,A1_p_Poor_condition,A1_p_High_prices,A1_p_Scam,A1_p_Safety,A1_p_Other,A1_price_perception,A1_recommendation,A1_revisit,A2_sentiment,A2_score,A2_emotion,A2_asp_safety,A2_asp_pricing,A2_asp_service,A2_asp_cleanliness,A2_asp_atmosphere,A2_p_Aggressive_vendors,A2_p_Navigation_difficulty,A2_p_Getting_lost,A2_p_Bad_smell,A2_p_Overcrowding,A2_p_Poor_condition,A2_p_High_prices,A2_p_Scam,A2_p_Safety,A2_p_Other,A2_price_perception,A2_recommendation,A2_revisit
8023,Negative,1,Disgust,Negative,Not_mentioned,Not_mentioned,Negative,Negative,0,0,0,0,0,1,0,1,1,0,Not_mentioned,Not_mentioned,Not_mentioned,Negative,1,Anger,Negative,Not_mentioned,Negative,Negative,Negative,0,0,0,0,0,1,0,1,1,1,Not_mentioned,Not_mentioned,Not_mentioned
5833,Negative,1,Fear,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,0,0,0,0,0,0,0,0,1,0,Not_mentioned,Not_mentioned,No,Negative,1,Fear,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,0,0,0,0,0,0,0,0,1,0,Not_mentioned,Not_mentioned,Not_mentioned
2542,Positive,4,Joy,Not_mentioned,Negative,Not_mentioned,Positive,Positive,0,0,0,0,1,0,0,1,0,0,Not_mentioned,Yes,Not_mentioned,Positive,4,Joy,Not_mentioned,Neutral,Not_mentioned,Positive,Positive,0,0,0,0,1,0,0,0,0,1,Not_mentioned,Yes,Not_mentioned
13482,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned
10116,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Neutral,Not_mentioned,Neutral,Not_mentioned,Not_mentioned,Neutral,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned
8678,Negative,1,Anger,Negative,Negative,Not_mentioned,Negative,Negative,1,0,0,0,0,1,0,1,1,0,Not_mentioned,Not_mentioned,Not_mentioned,Negative,1,Anger,Negative,Negative,Negative,Negative,Negative,1,0,0,0,0,0,0,1,1,1,Not_mentioned,Not_mentioned,Not_mentioned
1669,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned
1713,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,1,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned,Positive,4,Joy,Not_mentioned,Neutral,Neutral,Not_mentioned,Positive,1,0,0,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned
14604,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned
934,Neutral,3,Neutral,Positive,Negative,Not_mentioned,Not_mentioned,Neutral,1,0,1,0,1,0,1,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Neutral,Positive,Neutral,Neutral,Not_mentioned,Neutral,0,0,0,0,1,0,0,0,0,1,Not_mentioned,Not_mentioned,Not_mentioned
2168,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,1,0,1,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Neutral,1,1,1,0,0,0,0,0,0,0,Not_mentioned,Not_mentioned,Not_mentioned
4085,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,0,0,Not_mentioned,Yes,Not_mentioned,Positive,4,Joy,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Positive,0,0,0,0,0,0,0,0,1,1,Not_mentioned,Yes,Not_mentioned
