row_id,Site,Stars,G_Sent,G_Score,G_Emotion,G_Safety,G_Pricing,G_Service,G_Cleanl.,G_Atmosph.,G_Problems,G_Price,G_Recom.,G_Revisit,C_Sent,C_Score,C_Emotion,C_Safety,C_Pricing,C_Service,C_Cleanl.,C_Atmosph.,C_Problems,C_Price,C_Recom.,C_Revisit
644,medina,4,Neutral,3,Neutral,Positive,Negative,Negative,Not_mentioned,Neutral,"Aggressive_vendors, Scam",Expensive,Yes,Not_mentioned,Positive,4,Joy,Positive,Negative,Negative,Not_mentioned,Positive,"Aggressive_vendors, Scam",Expensive,Yes,Not_mentioned
6314,medina,5,Positive,5,Joy,Not_mentioned,Positive,Positive,Not_mentioned,Positive,—,Cheap,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Positive,Positive,Not_mentioned,Positive,—,Cheap,Yes,Not_mentioned
7460,medina,5,Neutral,3,Frustration,Not_mentioned,Neutral,Negative,Not_mentioned,Neutral,"Getting_lost, Aggressive_vendors, Scam",Fair,Not_mentioned,Not_mentioned,Neutral,3,Frustration,Not_mentioned,Neutral,Negative,Not_mentioned,Not_mentioned,"Getting_lost, Aggressive_vendors, Scam",Not_mentioned,Not_mentioned,Not_mentioned
2880,medina,4,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,—,Not_mentioned,Not_mentioned,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,—,Not_mentioned,Not_mentioned,Not_mentioned
3107,medina,5,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,—,Not_mentioned,Not_mentioned,Yes
2717,medina,4,Neutral,3,Frustration,Not_mentioned,Neutral,Negative,Not_mentioned,Positive,"Scam, High_prices",Expensive,Not_mentioned,Not_mentioned,Neutral,3,Frustration,Not_mentioned,Neutral,Negative,Not_mentioned,Positive,"Aggressive_vendors, Scam",Expensive,Not_mentioned,Not_mentioned
6399,medina,4,Negative,2,Other,Negative,Negative,Negative,Not_mentioned,Negative,"Aggressive_vendors, Scam",Expensive,No,Not_mentioned,Negative,2,Frustration,Negative,Negative,Negative,Not_mentioned,Not_mentioned,"Aggressive_vendors, Scam",Expensive,Not_mentioned,Not_mentioned
796,medina,4,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,"Overcrowding, Navigation_difficulty",Not_mentioned,Not_mentioned,Not_mentioned,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,"Overcrowding, Getting_lost",Not_mentioned,Yes,Not_mentioned
6687,medina,5,Positive,5,Joy,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned
3709,medina,4,Neutral,3,Neutral,Positive,Not_mentioned,Positive,Not_mentioned,Neutral,—,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,3,Neutral,Positive,Not_mentioned,Neutral,Not_mentioned,Negative,—,Not_mentioned,Not_mentioned,Not_mentioned
4937,medina,5,Positive,5,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Not_mentioned,—,Fair,Yes,Yes,Positive,5,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Not_mentioned,—,Fair,Yes,Yes
6445,medina,5,Positive,5,Joy,Positive,Not_mentioned,Positive,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned,Positive,5,Joy,Positive,Not_mentioned,Positive,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned
5430,medina,5,Positive,4,Joy,Not_mentioned,Not_mentioned,Neutral,Not_mentioned,Positive,Aggressive_vendors,Not_mentioned,Not_mentioned,Not_mentioned,Positive,4,Joy,Not_mentioned,Not_mentioned,Neutral,Not_mentioned,Positive,Aggressive_vendors,Not_mentioned,Not_mentioned,Not_mentioned
7145,medina,4,Positive,4,Joy,Neutral,Not_mentioned,Neutral,Not_mentioned,Positive,Navigation_difficulty,Not_mentioned,Yes,Not_mentioned,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,Navigation_difficulty,Not_mentioned,Yes,Not_mentioned
8300,medina,5,Positive,4,Joy,Not_mentioned,Not_mentioned,Neutral,Not_mentioned,Positive,—,Not_mentioned,Yes,Not_mentioned,Positive,5,Joy,Not_mentioned,Not_mentioned,Neutral,Not_mentioned,Positive,Aggressive_vendors,Not_mentioned,Yes,Not_mentioned
3749,medina,5,Negative,2,Other,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Negative,Other,Not_mentioned,No,Not_mentioned,Negative,2,Frustration,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Negative,Other,Not_mentioned,No,Not_mentioned
