review_id,place,stars,gt,year,era,trip_date,trip_type,written_date,llm_sentiment,llm_score,llm_emotion,llm_safety,llm_pricing,llm_service,llm_cleanliness,llm_atmosphere,llm_problems,llm_price_perception,llm_recommendation,llm_revisit,llm_keywords
1,medina,4.0,Positive,2026,Post-COVID,Mar 2026,Couples,"Written March 27, 2026",Positive,4,Joy,Negative,Not_mentioned,Positive,Not_mentioned,Positive,"[""Overcrowding""]",Not_mentioned,Yes,Not_mentioned,"[""great area"", ""not aggressive"", ""motorbikes""]"
2,medina,5.0,Positive,2026,Post-COVID,Mar 2026,Friends,"Written March 15, 2026",Positive,4,Joy,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Positive,"[""Safety""]",Not_mentioned,Yes,Not_mentioned,"[""great experience"", ""mystical"", ""pickpockets""]"
3,medina,5.0,Positive,2026,Post-COVID,Mar 2026,Friends,"Written March 14, 2026",Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""absolute experience"", ""fairy tale"", ""mystical"", ""history""]"
4,medina,5.0,Positive,2026,Post-COVID,Oct 2025,Couples,"Written March 5, 2026",Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,[],Not_mentioned,Yes,Not_mentioned,"[""must see"", ""tourist"", ""food""]"
5,medina,3.0,Neutral,2026,Post-COVID,Feb 2026,Couples,"Written March 3, 2026",Negative,2,Frustration,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Negative,"[""Other (lack of variety)"", ""Scam"", ""Overcrowding""]",Not_mentioned,No,No,"[""not a fan"", ""repeating shops"", ""scams"", ""overcrowding""]"
6,medina,5.0,Positive,2026,Post-COVID,Feb 2026,Couples,"Written March 2, 2026",Negative,3,Frustration,Negative,Negative,Negative,Not_mentioned,Positive,"[""Overcrowding"", ""Scam""]",Expensive,Yes,Not_mentioned,"[""must-see"", ""traffic"", ""scam"", ""variable pricing""]"
7,medina,5.0,Positive,2026,Post-COVID,Feb 2026,Friends,"Written February 22, 2026",Positive,5,Joy,Not_mentioned,Positive,Positive,Not_mentioned,Positive,[],Cheap,Yes,Not_mentioned,"[""enjoyed"", ""local experience"", ""cheap"", ""delicious""]"
8,medina,5.0,Positive,2026,Post-COVID,Feb 2026,,"Written February 19, 2026",Positive,4,Joy,Positive,Not_mentioned,Positive,Not_mentioned,Positive,"[""Scam""]",Not_mentioned,Yes,Not_mentioned,"[""safe"", ""not pushy"", ""lively"", ""recommend""]"
9,medina,4.0,Positive,2026,Post-COVID,Feb 2026,,"Written February 16, 2026",Positive,4,Joy,Not_mentioned,Neutral,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""authentic"", ""bargaining"", ""shopkeepers"", ""must-see""]"
10,medina,1.0,Negative,2026,Post-COVID,Feb 2026,Solo,"Written February 8, 2026",Negative,1,Anger,Negative,Negative,Negative,Negative,Negative,"[""Poor_cleanliness"", ""Scam"", ""Poor_condition""]",Expensive,No,No,"[""septic armpit"", ""scam infested"", ""grubby"", ""disappointed""]"
11,medina,5.0,Positive,2026,Post-COVID,Feb 2026,Couples,"Written February 7, 2026",Negative,3,Disgust,Not_mentioned,Not_mentioned,Negative,Negative,Neutral,"[""Poor_cleanliness"", ""Overcrowding"", ""Other (animal exploitation)""]",Not_mentioned,Yes,Not_mentioned,"[""atmospheric"", ""dirty"", ""crowded"", ""animal exploitation""]"
12,medina,4.0,Positive,2026,Post-COVID,Jan 2026,Friends,"Written February 4, 2026",Negative,2,Disgust,Not_mentioned,Not_mentioned,Not_mentioned,Negative,Negative,"[""Bad_smell""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""bad smell"", ""unpleasant""]"
13,medina,5.0,Positive,2026,Post-COVID,Jan 2026,,"Written January 30, 2026",Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""beautiful square"", ""lively"", ""nice climate""]"
14,medina,2.0,Negative,2026,Post-COVID,Jan 2026,Friends,"Written January 25, 2026",Neutral,3,Frustration,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Neutral,"[""High_prices"", ""Other (lack of authenticity)"", ""Overcrowding""]",Expensive,No,Not_mentioned,"[""bustling bazaar"", ""overpriced"", ""imported goods"", ""overcrowding""]"
15,medina,5.0,Positive,2026,Post-COVID,Jan 2026,Friends,"Written January 20, 2026",Neutral,3,Frustration,Negative,Not_mentioned,Negative,Not_mentioned,Positive,"[""Overcrowding"", ""Scam""]",Not_mentioned,Yes,Not_mentioned,"[""vibrant"", ""beautiful"", ""must visit"", ""crowded"", ""scam""]"
16,medina,4.0,Positive,2026,Post-COVID,Oct 2025,Friends,"Written January 18, 2026",Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Not_mentioned,Not_mentioned,"[""historic center"", ""traditional markets"", ""bustle"", ""enjoy""]"
17,medina,4.0,Positive,2026,Post-COVID,Jan 2026,Couples,"Written January 4, 2026",Positive,4,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,[],Cheap,Yes,Not_mentioned,"[""artisan stalls"", ""cheap"", ""delicious"", ""old quarter"", ""discover""]"
18,medina,4.0,Positive,2026,Post-COVID,Dec 2025,,"Written January 1, 2026",Neutral,3,Frustration,Negative,Not_mentioned,Negative,Not_mentioned,Neutral,"[""Getting_lost"", ""Scam"", ""Navigation_difficulty""]",Not_mentioned,Yes,Not_mentioned,"[""shops"", ""get lost"", ""false guides"", ""scam"", ""vehicles""]"
19,medina,4.0,Positive,2025,Post-COVID,Dec 2025,Solo,"Written December 28, 2025",Neutral,3,Frustration,Negative,Not_mentioned,Negative,Not_mentioned,Positive,"[""Safety"", ""Scam""]",Not_mentioned,Yes,Not_mentioned,"[""local flavor"", ""real Morocco"", ""mopeds"", ""money"", ""safety""]"
20,medina,1.0,Negative,2025,Post-COVID,Jun 2025,Couples,"Written December 21, 2025",Negative,1,Anger,Negative,Negative,Negative,Negative,Negative,"[""Scam"", ""Aggressive_vendors"", ""Safety""]",Expensive,No,No,"[""rotten city"", ""scams"", ""aggressive"", ""dirty"", ""unsafe""]"
21,medina,3.0,Neutral,2025,Post-COVID,Dec 2025,Couples,"Written December 12, 2025",Neutral,3,Neutral,Negative,Not_mentioned,Neutral,Not_mentioned,Neutral,"[""Getting_lost"", ""Navigation_difficulty""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""lost"", ""motorbikes"", ""narrow streets"", ""shops"", ""interesting""]"
22,medina,1.0,Negative,2025,Post-COVID,Nov 2025,Couples,"Written December 3, 2025",Negative,2,Frustration,Not_mentioned,Negative,Negative,Not_mentioned,Neutral,"[""Scam"", ""High_prices"", ""Other""]",Expensive,Not_mentioned,Not_mentioned,"[""scam"", ""high prices"", ""fake craftsmanship"", ""shops"", ""doughnut""]"
23,medina,5.0,Positive,2025,Post-COVID,Nov 2025,,"Written December 1, 2025",Positive,4,Joy,Positive,Not_mentioned,Positive,Not_mentioned,Neutral,[],Not_mentioned,Yes,Not_mentioned,"[""Google Maps"", ""navigation"", ""no fear"", ""guide"", ""happy""]"
24,medina,5.0,Positive,2025,Post-COVID,Oct 2025,Couples,"Written November 25, 2025",Positive,4,Joy,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""full of life"", ""local crafts"", ""alleys"", ""guide"", ""rare pearls""]"
25,medina,4.0,Positive,2025,Post-COVID,Nov 2025,Solo,"Written November 21, 2025",Neutral,3,Frustration,Negative,Positive,Neutral,Not_mentioned,Positive,"[""Other""]",Cheap,Not_mentioned,Not_mentioned,"[""oriental charm"", ""cheap food"", ""kindness"", ""souks"", ""hair salon injury""]"
26,medina,5.0,Positive,2025,Post-COVID,Nov 2025,Couples,"Written November 20, 2025",Positive,4,Joy,Negative,Not_mentioned,Positive,Not_mentioned,Positive,"[""Navigation_difficulty""]",Not_mentioned,Yes,Not_mentioned,"[""souks"", ""guide"", ""sensory overload"", ""motorbikes"", ""scammers""]"
27,medina,4.0,Positive,2025,Post-COVID,Sep 2025,Friends,"Written November 19, 2025",Positive,4,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Not_mentioned,Not_mentioned,"[""historic district"", ""red city"", ""narrow streets"", ""workshops"", ""bazaars""]"
28,medina,2.0,Negative,2025,Post-COVID,Nov 2025,Couples,"Written November 19, 2025",Negative,2,Frustration,Negative,Not_mentioned,Negative,Not_mentioned,Neutral,"[""Scam"", ""Safety""]",Not_mentioned,No,Not_mentioned,"[""Eastern landscape"", ""Fez"", ""fraudsters"", ""scam"", ""night""]"
29,medina,5.0,Positive,2025,Post-COVID,Oct 2025,Couples,"Written November 18, 2025",Neutral,3,Frustration,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Positive,"[""Navigation_difficulty""]",Not_mentioned,Yes,Not_mentioned,"[""souvenir shops"", ""craftsmen"", ""must"", ""narrow walkway"", ""vehicles""]"
30,medina,5.0,Positive,2025,Post-COVID,Nov 2025,,"Written November 17, 2025",Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""special place"", ""UNESCO"", ""local culture"", ""sunset"", ""vibrant""]"
31,medina,4.0,Positive,2025,Post-COVID,Nov 2025,Couples,"Written November 16, 2025",Neutral,3,Caution,Negative,Negative,Negative,Not_mentioned,Positive,"[""Scam"", ""Aggressive_vendors""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""bargains"", ""pitfalls"", ""scam"", ""barter""]"
32,medina,5.0,Positive,2025,Post-COVID,Oct 2025,,"Written November 13, 2025",Positive,5,Joy,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Yes,"[""beautiful"", ""fascinating"", ""exquisite"", ""guide""]"
33,medina,4.0,Positive,2025,Post-COVID,Nov 2025,Couples,"Written November 12, 2025",Positive,4,Trust,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Neutral,[],Not_mentioned,Yes,Not_mentioned,"[""narrow roads"", ""shops"", ""nice vendors""]"
34,medina,5.0,Positive,2025,Post-COVID,Dec 2024,Couples,"Written November 11, 2025",Neutral,3,Neutral,Not_mentioned,Not_mentioned,Neutral,Not_mentioned,Neutral,"[""Navigation_difficulty"", ""Getting_lost""]",Not_mentioned,Yes,Not_mentioned,"[""guides"", ""navigation"", ""getting lost"", ""worth""]"
