row_id,raw_json
3816,"{""problems"": []}"
2060,"{""problems"": [""Safety"", ""Bad_smell""]}"
6071,"{""problems"": [""Navigation_difficulty"", ""High_prices""]}"
5479,"{""problems"": [""Aggressive_vendors""]}"
9159,"{""problems"": [""High_prices"", ""Other"", ""Poor_condition""]}"
10622,"{""problems"": [""Other"", ""Poor_condition""]}"
12468,"{""problems"": []}"
14536,"{""problems"": [""Bad_smell"", ""Other""]}"
10132,"{""problems"": [""Poor_condition"", ""Other""]}"
13580,"{""problems"": []}"
380,"{""problems"": []}"
12549,"{""problems"": []}"
1190,"{""problems"": [""Aggressive_vendors"", ""Other"", ""Scam""]}"
11687,"{""problems"": [""Poor_condition""]}"
10965,"{""problems"": []}"
11083,"{""problems"": [""Other""]}"
6219,"{""problems"": [""Aggressive_vendors""]}"
1758,"{""problems"": [""Safety"", ""Scam"", ""Getting_lost""]}"
10276,"{""problems"": [""Other""]}"
1632,"{""problems"": [""Overcrowding"", ""Safety"", ""High_prices""]}"
12488,"{""problems"": []}"
2949,"{""problems"": [""Safety"", ""Bad_smell""]}"
2574,"{""problems"": [""Bad_smell"", ""Poor_cleanliness"", ""Other""]}"
3025,"{""problems"": [""Other""]}"
3505,"{""problems"": [""Aggressive_vendors"", ""Overcrowding"", ""Bad_smell""]}"
9526,"{""problems"": [""Poor_condition""]}"
4020,"{""problems"": [""Aggressive_vendors"", ""High_prices"", ""Poor_cleanliness""]}"
216,"{""problems"": [""Safety"", ""Poor_cleanliness"", ""Other""]}"
13493,"{""problems"": []}"
9124,"{""problems"": [""High_prices"", ""Overcrowding"", ""Poor_condition""]}"
2918,"{""problems"": []}"
1840,"{""problems"": [""Bad_smell""]}"
1973,"{""problems"": [""Bad_smell"", ""Overcrowding""]}"
9477,"{""problems"": [""Overcrowding""]}"
248,"{""problems"": [""Aggressive_vendors"", ""High_prices"", ""Bad_smell""]}"
6116,"{""problems"": [""Overcrowding"", ""Bad_smell"", ""Poor_cleanliness""]}"
11155,"{""problems"": [""Poor_condition""]}"
499,"{""problems"": [""Scam"", ""Aggressive_vendors"", ""High_prices""]}"
3685,"{""problems"": [""Aggressive_vendors""]}"
13320,"{""problems"": []}"
1457,"{""problems"": [""Safety"", ""Scam"", ""Aggressive_vendors""]}"
12066,"{""problems"": []}"
13861,"{""problems"": [""Overcrowding""]}"
4231,"{""problems"": [""Aggressive_vendors"", ""High_prices"", ""Scam""]}"
5268,"{""problems"": [""Getting_lost"", ""Navigation_difficulty"", ""Aggressive_vendors""]}"
8023,"{""problems"": [""Poor_cleanliness"", ""Poor_condition"", ""Scam""]}"
5833,"{""problems"": [""Safety"", ""Scam""]}"
2542,"{""problems"": [""Overcrowding"", ""High_prices""]}"
13482,"{""problems"": []}"
10116,"{""problems"": [""Scam"", ""High_prices""]}"
8678,"{""problems"": [""Aggressive_vendors"", ""Scam"", ""Safety""]}"
1669,"{""problems"": [""Aggressive_vendors""]}"
1713,"{""problems"": [""Aggressive_vendors"", ""High_prices""]}"
14604,"{""problems"": []}"
934,"{""problems"": [""Overcrowding"", ""Aggressive_vendors"", ""High_prices""]}"
2168,"{""problems"": [""Getting_lost"", ""Aggressive_vendors""]}"
4085,"{""problems"": [""Safety"", ""Navigation_difficulty""]}"
10863,"{""problems"": [""Poor_condition"", ""High_prices""]}"
6376,"{""problems"": [""Other"", ""Aggressive_vendors"", ""Scam""]}"
6983,"{""problems"": [""Aggressive_vendors"", ""Scam"", ""Bad_smell""]}"
150,"{""problems"": [""Aggressive_vendors"", ""Scam"", ""Safety""]}"
14307,"{""problems"": []}"
10418,"{""problems"": []}"
13747,"{""problems"": [""Poor_condition""]}"
3345,"{""problems"": [""Aggressive_vendors""]}"
4039,"{""problems"": []}"
1158,"{""problems"": [""Poor_condition""]}"
5737,"{""problems"": [""Aggressive_vendors""]}"
2158,"{""problems"": []}"
11549,"{""problems"": [""Poor_condition""]}"
2712,"{""problems"": [""Scam""]}"
14203,"{""problems"": [""Other""]}"
6661,"{""problems"": [""Bad_smell"", ""Getting_lost"", ""Overcrowding""]}"
10869,"{""problems"": [""Poor_condition""]}"
13539,"{""problems"": [""Other""]}"
14127,"{""problems"": [""Other""]}"
13803,"{""problems"": [""Other""]}"
1380,"{""problems"": []}"
2597,"{""problems"": [""Scam"", ""Aggressive_vendors""]}"
7469,"{""problems"": []}"
8031,"{""problems"": []}"
8214,"{""problems"": [""Aggressive_vendors"", ""Scam""]}"
12079,"{""problems"": []}"
2351,"{""problems"": [""Safety""]}"
13465,"{""problems"": []}"
1349,"{""problems"": [""Safety"", ""Getting_lost"", ""Navigation_difficulty""]}"
7390,"{""problems"": [""Scam"", ""Getting_lost"", ""Safety""]}"
12200,"{""problems"": []}"
9206,"{""problems"": [""Overcrowding""]}"
13474,"{""problems"": []}"
11720,"{""problems"": [""Poor_condition""]}"
12664,"{""problems"": []}"
13160,"{""problems"": []}"
13581,"{""problems"": []}"
9500,"{""problems"": [""Scam""]}"
13203,"{""problems"": [""Other""]}"
9334,"{""problems"": []}"
9443,"{""problems"": [""Overcrowding""]}"
4542,"{""problems"": [""Bad_smell"", ""Safety"", ""Aggressive_vendors""]}"
10385,"{""problems"": []}"
11521,"{""problems"": [""Overcrowding"", ""Poor_condition"", ""Other""]}"
8319,"{""problems"": [""Aggressive_vendors"", ""Safety""]}"
6528,"{""problems"": [""Scam""]}"
2299,"{""problems"": [""Overcrowding""]}"
7820,"{""problems"": []}"
9620,"{""problems"": [""Other""]}"
7041,"{""problems"": [""Poor_cleanliness"", ""Getting_lost"", ""Aggressive_vendors""]}"
17,"{""problems"": [""Getting_lost"", ""Scam"", ""Other""]}"
5331,"{""problems"": [""Aggressive_vendors"", ""Other""]}"
7678,"{""problems"": []}"
14402,"{""problems"": [""Other""]}"
7632,"{""problems"": [""Poor_cleanliness""]}"
6294,"{""problems"": []}"
4178,"{""problems"": [""Scam""]}"
10876,"{""problems"": [""Poor_cleanliness"", ""Poor_condition""]}"
11197,"{""problems"": [""High_prices""]}"
7628,"{""problems"": [""Aggressive_vendors"", ""Safety""]}"
13547,"{""problems"": [""Poor_condition"", ""Other""]}"
2896,"{""problems"": [""Other"", ""Aggressive_vendors"", ""Poor_cleanliness""]}"
4574,"{""problems"": [""Poor_cleanliness"", ""Aggressive_vendors"", ""High_prices""]}"
9233,"{""problems"": [""Poor_condition"", ""High_prices""]}"
4703,"{""problems"": [""Navigation_difficulty"", ""Aggressive_vendors""]}"
5523,"{""problems"": [""Scam""]}"
9926,"{""problems"": [""Overcrowding""]}"
6181,"{""problems"": []}"
4895,"{""problems"": [""Other"", ""Overcrowding""]}"
9119,"{""problems"": [""Other"", ""Overcrowding""]}"
13664,"{""problems"": [""Poor_condition""]}"
2587,"{""problems"": [""Overcrowding"", ""Scam""]}"
5807,"{""problems"": [""Other"", ""Aggressive_vendors""]}"
14072,"{""problems"": [""Poor_condition""]}"
3064,"{""problems"": []}"
1000,"{""problems"": [""Aggressive_vendors""]}"
5209,"{""problems"": []}"
2564,"{""problems"": []}"
5007,"{""problems"": [""Getting_lost"", ""High_prices"", ""Scam""]}"
1028,"{""problems"": [""Poor_cleanliness"", ""Bad_smell"", ""Scam""]}"
108,"{""problems"": [""Other"", ""Bad_smell""]}"
6708,"{""problems"": [""Safety""]}"
9740,"{""problems"": []}"
9463,"{""problems"": []}"
5845,"{""problems"": [""Aggressive_vendors""]}"
947,"{""problems"": [""Getting_lost"", ""Poor_cleanliness""]}"
2810,"{""problems"": [""Scam""]}"
9112,"{""problems"": []}"
6998,"{""problems"": [""Bad_smell"", ""Poor_condition""]}"
12901,"{""problems"": [""Poor_condition""]}"
10333,"{""problems"": []}"
11644,"{""problems"": [""High_prices""]}"
942,"{""problems"": []}"
13954,"{""problems"": [""Other""]}"
13016,"{""problems"": []}"
3642,"{""problems"": [""Aggressive_vendors""]}"
242,"{""problems"": [""Aggressive_vendors"", ""Scam""]}"
10279,"{""problems"": [""High_prices""]}"
7727,"{""problems"": [""Aggressive_vendors"", ""Safety""]}"
9631,"{""problems"": []}"
5364,"{""problems"": [""Overcrowding"", ""Poor_cleanliness"", ""Aggressive_vendors""]}"
6337,"{""problems"": [""Bad_smell"", ""Poor_cleanliness"", ""Aggressive_vendors""]}"
2538,"{""problems"": [""Aggressive_vendors"", ""Scam"", ""Navigation_difficulty""]}"
14767,"{""problems"": []}"
10922,"{""problems"": [""Overcrowding""]}"
11140,"{""problems"": []}"
4100,"{""problems"": [""High_prices"", ""Scam""]}"
161,"{""problems"": [""Bad_smell"", ""Other""]}"
5063,"{""problems"": [""Animal_abuse"", ""Scam"", ""Aggressive_vendors""]}"
3197,"{""problems"": [""Overcrowding"", ""Aggressive_vendors""]}"
121,"{""problems"": [""Animal_abuse""]}"
10038,"{""problems"": [""Poor_condition""]}"
4354,"{""problems"": [""Poor_cleanliness"", ""Safety"", ""Scam""]}"
11472,"{""problems"": [""Poor_condition""]}"
14835,"{""problems"": [""Poor_condition"", ""Scam""]}"
4409,"{""problems"": [""High_prices"", ""Scam""]}"
1145,"{""problems"": [""Animal_abuse""]}"
8522,"{""problems"": [""Navigation_difficulty""]}"
4831,"{""problems"": [""Bad_smell"", ""Overcrowding""]}"
489,"{""problems"": [""Safety"", ""Overcrowding""]}"
8942,"{""problems"": [""Overcrowding""]}"
8766,"{""problems"": [""Safety""]}"
11710,"{""problems"": []}"
8755,"{""problems"": [""Poor_cleanliness"", ""Scam"", ""Other""]}"
7553,"{""problems"": [""Overcrowding"", ""Other""]}"
14361,"{""problems"": []}"
327,"{""problems"": [""Other"", ""Overcrowding"", ""Aggressive_vendors""]}"
1790,"{""problems"": [""Scam"", ""High_prices"", ""Safety""]}"
12712,"{""problems"": []}"
234,"{""problems"": [""Safety"", ""Scam"", ""Other""]}"
1394,"{""problems"": [""Scam"", ""Aggressive_vendors"", ""Other""]}"
13079,"{""problems"": [""Poor_condition""]}"
1828,"{""problems"": []}"
12613,"{""problems"": []}"
12150,"{""problems"": [""Poor_condition""]}"
13004,"{""problems"": []}"
10065,"{""problems"": [""Overcrowding"", ""High_prices"", ""Other""]}"
9106,"{""problems"": [""Poor_condition"", ""Overcrowding"", ""Other""]}"
6777,"{""problems"": [""Getting_lost""]}"
1915,"{""problems"": [""Scam"", ""Aggressive_vendors"", ""Safety""]}"
3820,"{""problems"": [""Other"", ""Safety""]}"
6628,"{""problems"": [""Aggressive_vendors""]}"
1699,"{""problems"": [""Getting_lost""]}"
3480,"{""problems"": []}"
10322,"{""problems"": []}"
2264,"{""problems"": [""Aggressive_vendors""]}"
8876,"{""problems"": [""Aggressive_vendors"", ""Scam"", ""Overcrowding""]}"
11047,"{""problems"": [""Overcrowding""]}"
