row_id,raw_json
8023,"{""overall_sentiment"": ""Negative""}"
5833,"{""overall_sentiment"": ""Negative""}"
2542,"{""overall_sentiment"": ""Positive""}"
13482,"{""overall_sentiment"": ""Positive""}"
10116,"{""overall_sentiment"": ""Neutral""}"
8678,"{""overall_sentiment"": ""Negative""}"
1669,"{""overall_sentiment"": ""Neutral""}"
1713,"{""overall_sentiment"": ""Positive""}"
14604,"{""overall_sentiment"": ""Positive""}"
934,"{""overall_sentiment"": ""Neutral""}"
2168,"{""overall_sentiment"": ""Negative""}"
4085,"{""overall_sentiment"": ""Positive""}"
10863,"{""overall_sentiment"": ""Negative""}"
6376,"{""overall_sentiment"": ""Positive""}"
6983,"{""overall_sentiment"": ""Negative""}"
3816,"{""overall_sentiment"": ""Positive""}"
2060,"{""overall_sentiment"": ""Negative""}"
6071,"{""overall_sentiment"": ""Positive""}"
5479,"{""overall_sentiment"": ""Positive""}"
9159,"{""overall_sentiment"": ""Negative""}"
10622,"{""overall_sentiment"": ""Negative""}"
12468,"{""overall_sentiment"": ""Positive""}"
14536,"{""overall_sentiment"": ""Positive""}"
10132,"{""overall_sentiment"": ""Neutral""}"
13580,"{""overall_sentiment"": ""Positive""}"
380,"{""overall_sentiment"": ""Positive""}"
12549,"{""overall_sentiment"": ""Positive""}"
1190,"{""overall_sentiment"": ""Negative""}"
11687,"{""overall_sentiment"": ""Positive""}"
10965,"{""overall_sentiment"": ""Positive""}"
2918,"{""overall_sentiment"": ""Positive""}"
1840,"{""overall_sentiment"": ""Negative""}"
1973,"{""overall_sentiment"": ""Negative""}"
9477,"{""overall_sentiment"": ""Negative""}"
248,"{""overall_sentiment"": ""Negative""}"
6116,"{""overall_sentiment"": ""Negative""}"
11155,"{""overall_sentiment"": ""Positive""}"
499,"{""overall_sentiment"": ""Negative""}"
3685,"{""overall_sentiment"": ""Positive""}"
13320,"{""overall_sentiment"": ""Positive""}"
1457,"{""overall_sentiment"": ""Negative""}"
12066,"{""overall_sentiment"": ""Positive""}"
13861,"{""overall_sentiment"": ""Positive""}"
4231,"{""overall_sentiment"": ""Negative""}"
5268,"{""overall_sentiment"": ""Positive""}"
11083,"{""overall_sentiment"": ""Negative""}"
6219,"{""overall_sentiment"": ""Negative""}"
1758,"{""overall_sentiment"": ""Negative""}"
10276,"{""overall_sentiment"": ""Negative""}"
1632,"{""overall_sentiment"": ""Negative""}"
12488,"{""overall_sentiment"": ""Positive""}"
2949,"{""overall_sentiment"": ""Negative""}"
2574,"{""overall_sentiment"": ""Negative""}"
3025,"{""overall_sentiment"": ""Negative""}"
3505,"{""overall_sentiment"": ""Negative""}"
9526,"{""overall_sentiment"": ""Positive""}"
4020,"{""overall_sentiment"": ""Negative""}"
216,"{""overall_sentiment"": ""Negative""}"
13493,"{""overall_sentiment"": ""Neutral""}"
9124,"{""overall_sentiment"": ""Negative""}"
9620,"{""overall_sentiment"": ""Negative""}"
7041,"{""overall_sentiment"": ""Negative""}"
17,"{""overall_sentiment"": ""Negative""}"
5331,"{""overall_sentiment"": ""Neutral""}"
7678,"{""overall_sentiment"": ""Positive""}"
14402,"{""overall_sentiment"": ""Positive""}"
7632,"{""overall_sentiment"": ""Negative""}"
6294,"{""overall_sentiment"": ""Positive""}"
4178,"{""overall_sentiment"": ""Negative""}"
10876,"{""overall_sentiment"": ""Negative""}"
11197,"{""overall_sentiment"": ""Negative""}"
7628,"{""overall_sentiment"": ""Negative""}"
13547,"{""overall_sentiment"": ""Negative""}"
2896,"{""overall_sentiment"": ""Neutral""}"
4574,"{""overall_sentiment"": ""Negative""}"
14127,"{""overall_sentiment"": ""Positive""}"
13803,"{""overall_sentiment"": ""Negative""}"
1380,"{""overall_sentiment"": ""Positive""}"
2597,"{""overall_sentiment"": ""Positive""}"
7469,"{""overall_sentiment"": ""Positive""}"
8031,"{""overall_sentiment"": ""Neutral""}"
8214,"{""overall_sentiment"": ""Negative""}"
12079,"{""overall_sentiment"": ""Positive""}"
2351,"{""overall_sentiment"": ""Negative""}"
13465,"{""overall_sentiment"": ""Positive""}"
1349,"{""overall_sentiment"": ""Negative""}"
7390,"{""overall_sentiment"": ""Negative""}"
12200,"{""overall_sentiment"": ""Positive""}"
9206,"{""overall_sentiment"": ""Positive""}"
13474,"{""overall_sentiment"": ""Neutral""}"
150,"{""overall_sentiment"": ""Negative""}"
14307,"{""overall_sentiment"": ""Positive""}"
10418,"{""overall_sentiment"": ""Positive""}"
13747,"{""overall_sentiment"": ""Positive""}"
3345,"{""overall_sentiment"": ""Neutral""}"
4039,"{""overall_sentiment"": ""Positive""}"
1158,"{""overall_sentiment"": ""Positive""}"
5737,"{""overall_sentiment"": ""Negative""}"
2158,"{""overall_sentiment"": ""Positive""}"
11549,"{""overall_sentiment"": ""Negative""}"
2712,"{""overall_sentiment"": ""Positive""}"
14203,"{""overall_sentiment"": ""Negative""}"
6661,"{""overall_sentiment"": ""Negative""}"
10869,"{""overall_sentiment"": ""Negative""}"
13539,"{""overall_sentiment"": ""Negative""}"
11720,"{""overall_sentiment"": ""Negative""}"
12664,"{""overall_sentiment"": ""Positive""}"
13160,"{""overall_sentiment"": ""Positive""}"
13581,"{""overall_sentiment"": ""Positive""}"
9500,"{""overall_sentiment"": ""Negative""}"
13203,"{""overall_sentiment"": ""Negative""}"
9334,"{""overall_sentiment"": ""Positive""}"
9443,"{""overall_sentiment"": ""Negative""}"
4542,"{""overall_sentiment"": ""Negative""}"
10385,"{""overall_sentiment"": ""Positive""}"
11521,"{""overall_sentiment"": ""Negative""}"
8319,"{""overall_sentiment"": ""Negative""}"
6528,"{""overall_sentiment"": ""Positive""}"
2299,"{""overall_sentiment"": ""Positive""}"
7820,"{""overall_sentiment"": ""Positive""}"
9233,"{""overall_sentiment"": ""Negative""}"
4703,"{""overall_sentiment"": ""Positive""}"
5523,"{""overall_sentiment"": ""Negative""}"
9926,"{""overall_sentiment"": ""Neutral""}"
6181,"{""overall_sentiment"": ""Positive""}"
4895,"{""overall_sentiment"": ""Negative""}"
9119,"{""overall_sentiment"": ""Positive""}"
13664,"{""overall_sentiment"": ""Positive""}"
2587,"{""overall_sentiment"": ""Negative""}"
5807,"{""overall_sentiment"": ""Negative""}"
14072,"{""overall_sentiment"": ""Neutral""}"
3064,"{""overall_sentiment"": ""Positive""}"
1000,"{""overall_sentiment"": ""Neutral""}"
5209,"{""overall_sentiment"": ""Positive""}"
2564,"{""overall_sentiment"": ""Positive""}"
5063,"{""overall_sentiment"": ""Negative""}"
3197,"{""overall_sentiment"": ""Negative""}"
121,"{""overall_sentiment"": ""Negative""}"
10038,"{""overall_sentiment"": ""Positive""}"
4354,"{""overall_sentiment"": ""Negative""}"
11472,"{""overall_sentiment"": ""Negative""}"
14835,"{""overall_sentiment"": ""Negative""}"
4409,"{""overall_sentiment"": ""Negative""}"
1145,"{""overall_sentiment"": ""Negative""}"
8522,"{""overall_sentiment"": ""Positive""}"
4831,"{""overall_sentiment"": ""Negative""}"
489,"{""overall_sentiment"": ""Negative""}"
8942,"{""overall_sentiment"": ""Positive""}"
8766,"{""overall_sentiment"": ""Positive""}"
11710,"{""overall_sentiment"": ""Positive""}"
5007,"{""overall_sentiment"": ""Positive""}"
1028,"{""overall_sentiment"": ""Negative""}"
108,"{""overall_sentiment"": ""Negative""}"
6708,"{""overall_sentiment"": ""Negative""}"
9740,"{""overall_sentiment"": ""Positive""}"
9463,"{""overall_sentiment"": ""Neutral""}"
5845,"{""overall_sentiment"": ""Negative""}"
947,"{""overall_sentiment"": ""Negative""}"
2810,"{""overall_sentiment"": ""Positive""}"
9112,"{""overall_sentiment"": ""Positive""}"
6998,"{""overall_sentiment"": ""Negative""}"
12901,"{""overall_sentiment"": ""Neutral""}"
10333,"{""overall_sentiment"": ""Positive""}"
11644,"{""overall_sentiment"": ""Negative""}"
942,"{""overall_sentiment"": ""Negative""}"
13954,"{""overall_sentiment"": ""Positive""}"
13016,"{""overall_sentiment"": ""Positive""}"
3642,"{""overall_sentiment"": ""Negative""}"
242,"{""overall_sentiment"": ""Negative""}"
10279,"{""overall_sentiment"": ""Negative""}"
7727,"{""overall_sentiment"": ""Negative""}"
9631,"{""overall_sentiment"": ""Positive""}"
5364,"{""overall_sentiment"": ""Negative""}"
6337,"{""overall_sentiment"": ""Negative""}"
2538,"{""overall_sentiment"": ""Negative""}"
14767,"{""overall_sentiment"": ""Neutral""}"
10922,"{""overall_sentiment"": ""Negative""}"
11140,"{""overall_sentiment"": ""Neutral""}"
4100,"{""overall_sentiment"": ""Negative""}"
161,"{""overall_sentiment"": ""Negative""}"
8755,"{""overall_sentiment"": ""Negative""}"
7553,"{""overall_sentiment"": ""Negative""}"
14361,"{""overall_sentiment"": ""Neutral""}"
327,"{""overall_sentiment"": ""Negative""}"
1790,"{""overall_sentiment"": ""Negative""}"
12712,"{""overall_sentiment"": ""Positive""}"
234,"{""overall_sentiment"": ""Negative""}"
1394,"{""overall_sentiment"": ""Negative""}"
13079,"{""overall_sentiment"": ""Negative""}"
1828,"{""overall_sentiment"": ""Positive""}"
12613,"{""overall_sentiment"": ""Positive""}"
12150,"{""overall_sentiment"": ""Positive""}"
13004,"{""overall_sentiment"": ""Positive""}"
10065,"{""overall_sentiment"": ""Negative""}"
9106,"{""overall_sentiment"": ""Negative""}"
12732,"{""overall_sentiment"": ""Positive""}"
2899,"{""overall_sentiment"": ""Negative""}"
3050,"{""overall_sentiment"": ""Positive""}"
