row_id,site,language,stars
2,Medina,German,5.0
12,Medina,Italian,5.0
15,Medina,Spanish,4.0
16,Medina,French,4.0
19,Medina,French,1.0
21,Medina,French,1.0
23,Medina,French,5.0
24,Medina,French,4.0
29,Medina,Italian,5.0
40,Medina,French,2.0
41,Medina,Spanish,5.0
44,Medina,Spanish,5.0
47,Medina,Italian,3.0
49,Medina,German,3.0
51,Medina,Spanish,4.0
53,Medina,Spanish,5.0
54,Medina,Italian,4.0
62,Medina,Italian,4.0
64,Medina,French,4.0
65,Medina,Spanish,2.0
66,Medina,Italian,2.0
72,Medina,French,5.0
73,Medina,French,3.0
77,Medina,French,4.0
87,Medina,German,4.0
89,Medina,Italian,5.0
94,Medina,French,1.0
104,Medina,French,2.0
106,Medina,French,2.0
107,Medina,Italian,1.0
115,Medina,German,2.0
119,Medina,French,2.0
124,Medina,Italian,3.0
128,Medina,Spanish,4.0
137,Medina,Italian,1.0
178,Medina,Italian,1.0
188,Medina,French,3.0
236,Medina,German,1.0
241,Medina,French,3.0
246,Medina,Italian,2.0
248,Medina,Italian,2.0
250,Medina,Italian,3.0
252,Medina,German,3.0
260,Medina,French,3.0
267,Medina,German,1.0
273,Medina,German,5.0
279,Medina,German,3.0
282,Medina,German,1.0
289,Medina,Spanish,1.0
310,Medina,German,4.0
317,Medina,German,3.0
320,Medina,Spanish,1.0
330,Medina,Italian,3.0
331,Medina,French,3.0
333,Medina,Spanish,3.0
336,Medina,French,3.0
343,Medina,French,3.0
370,Medina,German,2.0
381,Medina,German,4.0
385,Medina,Spanish,1.0
417,Medina,German,4.0
440,Medina,German,3.0
480,Medina,Spanish,3.0
549,Medina,Spanish,1.0
643,Medina,Spanish,1.0
820,Medina,German,2.0
1099,Medina,Italian,3.0
1251,Medina,Spanish,1.0
1327,Medina,Italian,3.0
1677,Medina,Spanish,3.0
8949,Bahia,French,2.0
8951,Bahia,German,3.0
8954,Bahia,Italian,4.0
8957,Bahia,Italian,5.0
8969,Bahia,French,5.0
8970,Bahia,French,2.0
8972,Bahia,French,3.0
8978,Bahia,French,4.0
8979,Bahia,Italian,3.0
8983,Bahia,Italian,3.0
8985,Bahia,German,5.0
8989,Bahia,French,5.0
8992,Bahia,French,3.0
8993,Bahia,French,4.0
8994,Bahia,French,4.0
8995,Bahia,Spanish,4.0
8996,Bahia,French,4.0
8999,Bahia,Spanish,4.0
9005,Bahia,Italian,1.0
9008,Bahia,French,3.0
9013,Bahia,French,2.0
9014,Bahia,Italian,5.0
9019,Bahia,French,1.0
9021,Bahia,French,3.0
9022,Bahia,Italian,5.0
9040,Bahia,Spanish,5.0
9044,Bahia,German,3.0
9046,Bahia,Italian,4.0
9049,Bahia,German,1.0
9067,Bahia,Spanish,5.0
9070,Bahia,French,3.0
9071,Bahia,Italian,3.0
9073,Bahia,Spanish,2.0
9074,Bahia,French,3.0
9083,Bahia,French,3.0
9088,Bahia,Spanish,5.0
9090,Bahia,French,1.0
9091,Bahia,German,3.0
9097,Bahia,French,2.0
9098,Bahia,French,2.0
9102,Bahia,Spanish,4.0
9121,Bahia,German,3.0
9124,Bahia,Italian,1.0
9131,Bahia,Italian,3.0
9142,Bahia,Italian,2.0
9177,Bahia,German,2.0
9200,Bahia,German,2.0
9246,Bahia,Italian,3.0
9249,Bahia,Italian,3.0
9251,Bahia,Spanish,3.0
9274,Bahia,German,5.0
9285,Bahia,Spanish,3.0
9319,Bahia,Spanish,1.0
9340,Bahia,German,4.0
9347,Bahia,German,5.0
9355,Bahia,Italian,2.0
9386,Bahia,German,5.0
9390,Bahia,German,2.0
9399,Bahia,Spanish,3.0
9433,Bahia,German,4.0
9452,Bahia,Spanish,2.0
9683,Bahia,German,3.0
9916,Bahia,Spanish,3.0
